No.|Oxygen Debit (mol/s) (1)|Oxygen Permeatation (1)|Sequence Discreapancy (1)|Oxygen Debit (mol/s) (2)|Oxygen Permeatation (2)|Sequence Discreapancy (2)|Oxygen Debit (mol/s) (3)|Oxygen Permeatation (3)|Sequence Discreapancy (3)
1|10|8,2176815128499E-13|0|10|4,10884075642495E-13|0|10|2,73922717094997E-13|0|

2|20|1,64353630256998E-12|-8,2176815128499E-13|20|8,2176815128499E-13|-4,10884075642495E-13|20|5,47845434189994E-13|-2,73922717094997E-13|

3|30|2,46530445385497E-12|-8,2176815128499E-13|30|1,23265222692749E-12|-4,108840756425E-13|30|8,2176815128499E-13|-2,73922717094996E-13|

4|40|3,28707260513996E-12|-8,2176815128499E-13|40|1,64353630256998E-12|-4,1088407564249E-13|40|1,09569086837999E-12|-2,73922717095E-13|

5|50|4,10884075642495E-12|-8,2176815128499E-13|50|2,05442037821248E-12|-4,108840756425E-13|50|1,36961358547498E-12|-2,7392271709499E-13|

6|60|4,93060890770994E-12|-8,2176815128499E-13|60|2,46530445385497E-12|-4,1088407564249E-13|60|1,64353630256998E-12|-2,73922717095E-13|

7|70|5,75237705899493E-12|-8,2176815128499E-13|70|2,87618852949747E-12|-4,108840756425E-13|70|1,91745901966498E-12|-2,73922717095E-13|

8|80|6,57414521027992E-12|-8,2176815128499E-13|80|3,28707260513996E-12|-4,1088407564249E-13|80|2,19138173675997E-12|-2,7392271709499E-13|

9|90|7,39591336156491E-12|-8,2176815128499E-13|90|3,69795668078246E-12|-4,108840756425E-13|90|2,46530445385497E-12|-2,73922717095E-13|

10|100|8,2176815128499E-12|-8,21768151284989E-13|100|4,10884075642495E-12|-4,1088407564249E-13|100|2,73922717094997E-12|-2,73922717095E-13|

11|110|9,03944966413489E-12|-8,21768151284991E-13|110|4,51972483206745E-12|-4,108840756425E-13|110|3,01314988804496E-12|-2,7392271709499E-13|

12|120|9,86121781541988E-12|-8,21768151284989E-13|120|4,93060890770994E-12|-4,1088407564249E-13|120|3,28707260513996E-12|-2,73922717095E-13|

13|130|1,06829859667049E-11|-8,2176815128502E-13|130|5,34149298335244E-12|-4,108840756425E-13|130|3,56099532223496E-12|-2,73922717095E-13|

14|140|1,15047541179899E-11|-8,21768151285001E-13|140|5,75237705899493E-12|-4,1088407564249E-13|140|3,83491803932996E-12|-2,73922717095E-13|

15|150|1,23265222692749E-11|-8,21768151284999E-13|150|6,16326113463743E-12|-4,108840756425E-13|150|4,10884075642495E-12|-2,7392271709499E-13|

16|160|1,31482904205598E-11|-8,217681512849E-13|160|6,57414521027992E-12|-4,1088407564249E-13|160|4,38276347351995E-12|-2,73922717095E-13|

