No|Oxygen Debit (mol/s)|Oxygen Permeatation|Sequence Discreapancy
1|10|8.2176815128499E-14|0
2|20|1.64353630256998E-13|-8.2176815128499E-14
3|30|2.46530445385497E-13|-8.2176815128499E-14
4|40|3.28707260513996E-13|-8.2176815128499E-14
5|50|4.10884075642495E-13|-8.2176815128499E-14
6|60|4.93060890770994E-13|-8.2176815128499E-14
7|70|5.75237705899493E-13|-8.2176815128499E-14
8|80|6.57414521027992E-13|-8.2176815128499E-14
9|90|7.39591336156491E-13|-8.2176815128499E-14
10|100|8.2176815128499E-13|-8.2176815128499E-14
11|110|9.03944966413489E-13|-8.2176815128499E-14
12|120|9.86121781541988E-13|-8.21768151284989E-14
13|130|1.06829859667049E-12|-8.2176815128502E-14
14|140|1.15047541179899E-12|-8.21768151285E-14
15|150|1.23265222692749E-12|-8.21768151285E-14
16|160|1.31482904205598E-12|-8.21768151284899E-14
17|170|1.39700585718448E-12|-8.21768151285E-14
18|180|1.47918267231298E-12|-8.21768151285E-14
19|190|1.56135948744148E-12|-8.21768151285E-14
20|200|1.64353630256998E-12|-8.21768151285E-14
21|210|1.72571311769848E-12|-8.21768151285E-14
22|220|1.80788993282698E-12|-8.21768151285E-14
23|230|1.89006674795548E-12|-8.21768151285E-14
24|240|1.97224356308398E-12|-8.21768151284998E-14
25|250|2.05442037821248E-12|-8.21768151285002E-14
26|260|2.13659719334097E-12|-8.21768151284897E-14
27|270|2.21877400846947E-12|-8.21768151285002E-14
28|280|2.30095082359797E-12|-8.21768151284998E-14
29|290|2.38312763872647E-12|-8.21768151285002E-14
30|300|2.46530445385497E-12|-8.21768151284998E-14
31|310|2.54748126898347E-12|-8.21768151284998E-14
32|320|2.62965808411197E-12|-8.21768151285002E-14
33|330|2.71183489924047E-12|-8.21768151284998E-14
34|340|2.79401171436897E-12|-8.21768151285002E-14
35|350|2.87618852949747E-12|-8.21768151284998E-14
36|360|2.95836534462597E-12|-8.21768151285002E-14
37|370|3.04054215975446E-12|-8.21768151284897E-14
38|380|3.12271897488296E-12|-8.21768151285002E-14
39|390|3.20489579001146E-12|-8.21768151284998E-14
40|400|3.28707260513996E-12|-8.21768151285002E-14
